time (s),T1 (K),P1 (Bar),V1 (m3)
1.7747999999998698,1327.5347295969525,134375.87089404342,1.0
1.7751999999998698,1327.3457705051608,134356.74199352544,1.0
1.7755999999998697,1327.1569147126938,134337.6235523307,1.0
1.7759999999998697,1326.9681621689624,134318.51556533383,1.0
1.7763999999998696,1326.779512823403,134299.41802741194,1.0
1.7767999999998696,1326.5909666254713,134280.33093344411,1.0
1.7771999999998696,1326.4025235246422,134261.25427831142,1.0
1.7775999999998695,1326.2141834704098,134242.18805689676,1.0
1.7779999999998695,1326.0259464122876,134223.13226408514,1.0
1.7783999999998694,1325.8378122998083,134204.0868947635,1.0
1.7787999999998694,1325.649781082524,134185.0519438207,1.0
1.7791999999998693,1325.461852710004,134166.0274061474,1.0
1.7795999999998693,1325.2740271318396,134147.01327663645,1.0
1.7799999999998692,1325.0863042976384,134128.00955018253,1.0
1.7803999999998692,1324.89868415703,134109.01622168228,1.0
1.7807999999998692,1324.7111666596368,134090.03328603136,1.0
1.781199999999869,1324.5237517551445,134071.0607381326,1.0
1.781599999999869,1324.3364393932375,134052.09857288838,1.0
1.781999999999869,1324.1492295236199,134033.14678520308,1.0
1.782399999999869,1323.962122096016,134014.20536998307,1.0
1.782799999999869,1323.7751170601675,133995.27432213665,1.0
1.783199999999869,1323.588214365836,133976.35363657397,1.0
1.7835999999998688,1323.4014139628036,133957.44330820738,1.0
1.7839999999998688,1323.2147158008695,133938.54333195087,1.0
1.7843999999998688,1323.028119829853,133919.65370272065,1.0
1.7847999999998687,1322.8416259995945,133900.7744154349,1.0
1.7851999999998687,1322.6552342599507,133881.90546501352,1.0
1.7855999999998686,1322.468944560799,133863.0468463786,1.0
1.7859999999998686,1322.2827568519936,133844.19855444916,1.0
1.7863999999998685,1322.0966710834796,133825.36058415458,1.0
1.7867999999998685,1321.9106872051912,133806.53293042263,1.0
1.7871999999998684,1321.7248051670804,133787.7155881829,1.0
1.7875999999998684,1321.5390249191191,133768.90855236707,1.0
1.7879999999998684,1321.3533464112984,133750.11181790865,1.0
1.7883999999998683,1321.1677695936282,133731.32537974315,1.0
1.7887999999998683,1320.9822944161385,133712.54923280815,1.0
1.7891999999998682,1320.7969208288766,133693.7833720429,1.0
1.7895999999998682,1320.6116487819106,133675.0277923889,1.0
1.7899999999998681,1320.4264782253276,133656.28248878944,1.0
1.790399999999868,1320.2414091092335,133637.54745618982,1.0
1.790799999999868,1320.0564413837537,133618.82268953728,1.0
1.791199999999868,1319.8715749989824,133600.1081837756,1.0
1.791599999999868,1319.6868099051098,133581.40393385876,1.0
1.791999999999868,1319.5021460523235,133562.70993474047,1.0
1.7923999999998679,1319.3175833908256,133544.0261813757,1.0
1.7927999999998678,1319.1331218708335,133525.35266872108,1.0
1.7931999999998678,1318.9487614425861,133506.6893917354,1.0
1.7935999999998677,1318.7645020563425,133488.03634537954,1.0
1.7939999999998677,1318.580343662378,133469.39352461597,1.0
1.7943999999998677,1318.396286210988,133450.76092440923,1.0
1.7947999999998676,1318.2123296524887,133432.13853972603,1.0
1.7951999999998676,1318.0284739372144,133413.52636553484,1.0
1.7955999999998675,1317.8447190155173,133394.924396806,1.0
1.7959999999998675,1317.6610648377723,133376.3326285121,1.0
1.7963999999998674,1317.4775113543358,133357.75105562375,1.0
1.7967999999998674,1317.2940585156277,133339.17967311823,1.0
1.7971999999998673,1317.1107062720898,133320.618475975,1.0
1.7975999999998673,1316.9274545741685,133302.06745917397,1.0
1.7979999999998673,1316.7443033723316,133283.52661769724,1.0
1.7983999999998672,1316.5612526170648,133264.99594652874,1.0
1.7987999999998672,1316.3783022588725,133246.4754406542,1.0
1.7991999999998671,1316.1954522482804,133227.96509506163,1.0
1.799599999999867,1316.0127025358324,133209.4649047409,1.0
1.799999999999867,1315.8300530720894,133190.97486468346,1.0
1.800399999999867,1315.647503807634,133172.49496988318,1.0
