time (s),T1 (K),P1 (Bar),V1 (m3),YPOME,YCO2,YO2,Y_CO,Y_H2O,Y_OH,Y_H2O2
0.0752000000000001,1660.620824963064,2158189.6076066163,1.0,-6.149362126470544e-51,0.059169743461341906,0.00013223117398250585,0.0001747376961765381,0.03239171263849665,1.5204926329245573e-05,3.5465369771533955e-09
0.0754000000000001,1660.6462851538893,2158219.757105037,1.0,9.222734359223065e-51,0.05917268420389005,0.00013081767306725604,0.00017286603646981722,0.03239224502920082,1.5070811008936948e-05,3.4834495261808084e-09
0.07560000000000011,1660.6709337488235,2158248.9453996,1.0,-1.255718987100434e-50,0.05917553080784744,0.0001294491137364257,0.00017105429205802644,0.0323927607173382,1.4940970565068653e-05,3.4229244959428183e-09
0.07580000000000012,1660.6948121818918,2158277.2215666743,1.0,4.724667569540154e-51,0.05917828810386422,0.00012812320068800653,0.00016929938838568842,0.032393260541848226,1.4815192212711901e-05,3.3648100814744122e-09
0.07600000000000012,1660.7179589936825,2158304.631255471,1.0,1.4595713050517267e-50,0.05918096058337041,0.00012683779912338447,0.00016759846690153868,0.03239374528386718,1.469327765888208e-05,3.3089662862871434e-09
0.07620000000000013,1660.7404100823433,2158331.2169849873,1.0,-5.439060468082003e-50,0.05918355242877931,0.0001255909202561389,0.0001659488656897505,0.032394215671742554,1.4575042262565352e-05,3.2552637602649228e-09
0.07640000000000013,1660.762198934783,2158357.018417861,1.0,-1.2500470210080026e-50,0.059186067540288025,0.00012438070956969434,0.00016434810232453324,0.03239467238575271,1.4460312758091273e-05,3.2035828429507613e-09
0.07660000000000014,1660.7833568308456,2158382.072602801,1.0,-1.128428869398807e-50,0.05918850955998552,0.0001232054345599216,0.00016279385885143704,0.03239511606157511,1.4348927576088417e-05,3.153812536762953e-09
0.07680000000000015,1660.8039130232694,2158406.414187128,1.0,-5.338984583135665e-50,0.05919088189173066,0.00012206347493637808,0.0001612839688586867,0.03239554729502288,1.4240735266913209e-05,3.105849740208868e-09
0.07700000000000015,1660.823894906075,2158430.0756165953,1.0,-2.004250382690483e-50,0.059193187723815814,0.0001209533135724429,0.0001598164031209728,0.03239596664375485,1.4135593775430535e-05,3.059598949248882e-09
0.07720000000000016,1660.8433281623138,2158453.0873102783,1.0,-1.428735845981483e-51,0.05919543004371772,0.00011987352810743137,0.00015838926023276182,0.0323963746314619,1.4033369699244225e-05,3.0149711135079635e-09
0.07740000000000016,1660.862236899087,2158475.4778205813,1.0,6.609707823529684e-51,0.05919761165502114,0.00011882278353061484,0.0001570007558294134,0.032396771750031014,1.3933937626844095e-05,2.9718832422157044e-09
0.07760000000000017,1660.8806437693745,2158497.2739775027,1.0,9.140777600015246e-51,0.05919973519124545,0.00011779982539414331,0.00015564921378846764,0.032397158462173725,1.3837179547665523e-05,2.930257942953186e-09
0.07780000000000017,1660.8985700827118,2158518.501019781,1.0,3.761613769101487e-51,0.05920180312924858,0.00011680347369862438,0.0001543330576933764,0.03239753520344809,1.374298428392104e-05,2.8900229073954773e-09
0.07800000000000018,1660.9160359056534,2158539.1827138513,1.0,-1.7568701792870368e-50,0.05920381780068561,0.0001158326173151528,0.00015305080353679408,0.03239790238440927,1.365124698071578e-05,2.8511104954676527e-09
0.07820000000000019,1660.9330601543516,2158559.341463558,1.0,2.8000975605143012e-50,0.059205781403037866,0.00011488620886126598,0.0001518010527137766,0.032398260392338535,1.356186866862843e-05,2.8134574006920846e-09
0.07840000000000019,1660.9496606764028,2158578.99840714,1.0,-1.3183118455513584e-50,0.05920769600966191,0.00011396326010782187,0.00015058248563495514,0.03239860959266077,1.3474755928402903e-05,2.7770043958440655e-09
0.0786000000000002,1660.9658543251328,2158598.17350502,1.0,4.424554179984718e-51,0.059209563576862106,0.00011306283797641453,0.00014939385716535296,0.0323989503312788,1.3389820260656102e-05,2.7416957093201716e-09
